chr	start	end	ctype	areaStat
chr1	185001565	185002013	N	598.4576938501823
chr21	8217287	8217460	N	598.4284913577576
chr2	240453564	240453789	T	598.032746379457
chr1	151540782	151541265	T	597.7053157431665
chr9	132590285	132590602	T	596.8152262555795
chr2	26849874	26850247	T	596.6797617065386
chr17	75524677	75525162	T	596.2479824591919
chr1	151069916	151070173	T	596.2377563466107
chr12	5121985	5122445	N	596.0245444990232
chr8	59174186	59174659	N	595.7100091419516
chr19	615756	616032	T	595.0346973907922
chr2	201070373	201070647	N	594.6693961431683
chr13	57634248	57634758	T	594.6236982724313
chr16	2224501	2224938	N	593.0810606816985
chr22_KI270733v1_random	130719	130879	N	592.7951777034505
chr14	100546154	100546661	T	592.7167553462814
chr20	7121878	7122199	N	592.4122325020526
chr1	32361931	32362267	T	592.3886394964188
chr16	54284925	54285330	T	592.0049844673476
chr9	79573463	79573911	T	591.6158090224326
chr7	131811138	131811373	N	591.4919896940246
chr16	58246409	58246920	T	591.3854043480005
chr2	170716665	170717030	T	590.6370971849428
chr14	59919756	59920168	T	588.7475966158254
chr17	49993408	49993700	T	588.4684394601236
chr15	65395779	65396091	T	588.1706038855746
chr16	87477598	87478021	T	587.2425946707281
chr8	144270609	144271055	T	587.1006839686415
chr8	31927470	31927743	N	586.7442171276871
chr12	17379010	17379287	N	586.6795470649108
chr8	143973213	143973520	T	586.5410395085196
chr19	616091	616343	T	586.523812900748
chr4	2845157	2845645	T	586.3943524474639
chr19	23557852	23558125	N	586.2021109730431
chr17	7015488	7015943	T	585.9268689887663
chr4	164350769	164351194	N	585.5050158218774
chr1	1633040	1633433	T	583.7744012210023
chr17	50199598	50199969	T	583.5662759982092
chr4	53237045	53237547	N	583.2398245161485
chr4	190068914	190069413	N	583.1642538886372
chr5	177116730	177117162	T	583.0017100712248
chr13	24923677	24924112	T	582.7916890211654
chr1	2911341	2911774	N	582.022456161651
chr2	21909015	21909323	N	581.8751578940974
chr2	232381605	232381884	T	579.4903855296761
chr2	201208787	201209270	T	579.4306677840873
chr3	75067194	75067698	N	577.7954748067705
chr14	62909028	62909352	N	576.8712575042327
chr19	720451	720848	T	576.5267474405591
chr5	176365065	176365299	T	576.0931122599577
chr9	110125233	110125584	N	575.498242604795
chr2	73111850	73112272	T	575.2613907551467
chr10	119455698	119456165	T	574.9866667471861
chr6	32150435	32150708	T	573.7643982978188
chr19	19667940	19668345	T	573.6624338744705
chr2	220529198	220529494	N	573.432020929115
chr8	144472396	144472659	T	573.0478677462161
chr9	24791704	24792065	N	572.8936598383434
chr17	72716163	72716581	N	572.8084492761445
chr18	31497641	31498019	T	572.7346580537483
chr11	42434842	42435265	N	572.5183638029148
chr2	86130022	86130366	T	571.9755385992726
chr7	109397898	109398261	N	571.130934719843
chr11	82155774	82156164	N	570.9992053909905
chr19	58439847	58440331	T	570.84239798622
chrX	5480474	5480937	N	570.5962117814997
chr11	9263579	9263843	T	570.4758244495524
chr16	10385766	10386193	T	570.2560932638444
chr6	53358596	53358948	T	569.5007347087367
chr3	120780946	120781444	T	568.5885922838952
chr2	39527303	39527597	T	568.3762154179558
chrY	11103092	11103536	N	567.4866895251635
chr15	40252439	40252849	T	567.4599065834254
chrUn_GL000220v1	152354	152747	N	567.0790418710676
chr6	116462380	116462820	T	566.6650205290771
chr8	138097757	138098266	N	566.3164464744204
chr19	37951614	37951874	T	565.0798115007096
chr2	44954887	44955257	T	564.9780462153503
chr1	110673986	110674406	T	564.6520354010127
chr16	13312976	13313249	N	564.3798601938079
chr20	36436534	36436966	N	563.6909290033263
chr9	126915488	126915810	T	563.427432462227
chr14	71848549	71848996	N	562.9914326249373
chr6	29553268	29553581	T	562.9632991128215
chr5	153076567	153076993	N	562.6988139967766
chr6	61182030	61182429	N	562.3272840647905
chr14	100214651	100214957	T	562.165087993832
chr16	9090206	9090606	T	561.995718657909
chr7	145324171	145324419	N	561.5266667471337
chr17	36722497	36722923	T	560.3309266051629
chr19	20214067	20214469	N	560.2575395225513
chr14	104367804	104368228	N	559.9961837947449
chr17	4789252	4789691	T	559.4679320806135
chr21	9863798	9864075	N	558.3552502367056
chr6	3247276	3247634	N	558.3536811731492
chr3	9569425	9569912	N	557.9473505764681
chr12	101145996	101146489	N	557.0625298559225
chr2	193502448	193502942	N	556.8031787758055
chr1	204579321	204579746	T	555.5464681812191
chr3	97457787	97458287	N	555.0648185161526
chr17	81961606	81962074	T	554.9463305868157
chr11	68380382	68380821	T	554.7790040496234
chr22	45996328	45996818	T	553.6948673652537
chr18	45837668	45838004	T	552.5202082502578
chr2	157597287	157597731	T	552.2343685985065
chr22	50529553	50529995	T	552.0470080957039
chrX	125614506	125614932	N	551.0762542343059
chr2	149241255	149241529	N	551.0389900150421
chr1	10888249	10888679	T	550.4620037198351
chr19	48753193	48753634	T	550.3967532020347
chr15	94813447	94813762	N	549.7731042732312
chr16	9040839	9041344	N	549.7719862233721
chr1	176725724	176726075	N	549.6556732256458
chr11	65355455	65355853	T	549.5488821720601
chr8	67946038	67946323	N	548.7044713897094
chr15	64905354	64905814	T	548.1324114980393
chr14	71927568	71927953	N	547.790011937801
chr9	96020616	96021018	T	547.7202645139278
chr9	6412490	6412707	T	545.4533567088488
chr13	61632722	61633193	N	545.0231382795027
chr19	2599461	2599851	T	543.9494484000115
chr1	112221438	112221786	N	543.5898908167583
chr22	19723130	19723566	T	543.234058406264
chr1	118852370	118852842	N	543.1344637013417
chr1	181654704	181654969	N	542.8431198609228
chr7	151448271	151448513	T	542.6017981816444
chr2	185738767	185739182	T	542.5779339237888
chr16	32187950	32188300	N	542.5767979605216
chr3	66582757	66583124	T	541.0431289717199
chr2	55615582	55615963	N	540.9344795000047
chr1	26046026	26046373	T	540.9173159813881
chr7	146905783	146906234	N	540.8316000575314
chr19	5103122	5103507	N	540.703355695819
chr3	133227224	133227488	N	540.3204256624531
chr11	61955636	61956052	T	540.23103702158
chr2	236172876	236173274	T	539.8702523830652
chr11	627132	627565	T	539.8118576051338
chr10	42836789	42837105	T	539.5620762673043
chr2	103066616	103066882	N	538.9579651636632
chr19	13978531	13978972	T	538.6512456241267
chr19	17328163	17328435	T	538.2034221260956
chr5	37672180	37672494	T	538.176804919794
chr11	639804	640060	T	538.1413336914993
chr12	132439395	132439865	T	538.1012893127509
chr7	23532439	23532708	T	537.8128783138472
chr3	192714586	192714904	N	537.7448023587713
chr19	43699575	43699938	T	536.510732876784
chr8	22578480	22578949	T	536.2729745765037
chr13	20161627	20161927	T	536.1672931767903
chr2	128864532	128864834	N	535.6936262081326
chr2	228425674	228425890	N	535.5737827521743
chr12	132284093	132284520	N	535.2635574036731
chr5	13855230	13855641	N	535.0788738196243
chr1	11491697	11492116	N	534.9821619989202
chr1	152035655	152035990	N	534.7749619289862
chr2	45008825	45009081	T	534.540602314115
chr7	63930842	63931235	N	534.3159743036931
chr14	73592216	73592466	T	534.2738451180162
chr15	93353956	93354436	N	533.872188790574
chr3	48301847	48302319	T	533.6191323271696
chr7	114983590	114983980	T	533.2322885234325
chr15	89815153	89815569	T	532.6764280121342
chr14	87993107	87993619	T	532.6508430312642
chr15	43743854	43744173	T	532.4753240753666
chr6	78052697	78052936	N	531.5580589825777
chr8	91700002	91700286	N	531.5503085287819
chr15	37405029	37405455	N	530.6534792797047
chr8	135456526	135456968	T	530.5054071212612
chr1	179489767	179490039	N	530.4677929256777
chr6	14254566	14255014	T	530.3745128719038
chr11	13962345	13962757	T	530.3298552995984
chr7	132179527	132179892	N	529.7602268808778
chr11	38336905	38337280	N	529.7449110599928
chrUn_GL000220v1	150708	150967	N	529.3809104166285
chr17	61456685	61457043	T	528.9871070851059
chr1	100540063	100540429	T	528.8477747881147
chr16	11255211	11255328	T	528.7739987726268
chr1	998395	998787	T	528.2753126848165
chr10	132396030	132396421	T	528.0033349501555
chr1	227541917	227542408	T	527.649315903398
chr11	93849871	93850314	T	527.6034775858361
chr14	30562351	30562611	N	527.5123713565986
chr2	4460918	4461186	N	526.798110813389
chr22	23520987	23521439	N	526.741882129334
chr3	101511881	101512246	N	526.3071244730754
chr9	118900383	118900854	N	525.9651057743413
chr1	155689835	155690191	N	525.5484865534872
chr17	56189192	56189465	N	525.2899945935928
chr7	6753911	6754421	T	524.8418201175064
chr9	66710529	66711026	T	524.4480233598997
chr11	61355712	61356180	T	523.3132219458848
chr16	32381945	32382217	N	523.2318554116773
chr19	45901529	45901821	T	523.2206732722207
chr18	40370969	40371241	N	522.843392301415
chr9	77012299	77012781	T	522.6488653830324
chr2	228894295	228894783	N	522.5200415289328
chr14	105414616	105414844	T	522.044240959116
chr21	24954815	24955200	N	521.9206504342558
chr3	55240695	55240991	N	521.8409981442674
chr12	25364133	25364435	T	521.7613372876267
chr2	65841313	65841548	N	521.7415335502501
chr22	23773086	23773381	T	521.558292820916
chr5	176365677	176366046	T	521.4594932315226
chr5	139848516	139848886	T	520.5144673090517
chr17	19003770	19004201	T	520.4334038618649
chr18	11163741	11164152	T	520.3153536250534
chr7	2567728	2568104	T	520.2309466698689
chr5	181183507	181183789	T	519.4852754121498
chr9	84670508	84670788	T	519.4531426206463
chr8	72464067	72464386	N	519.1808974382297
chr15	20038007	20038400	N	519.0750717918286
chr12	49335999	49336312	T	518.6471784354285
chr7	95396073	95396356	T	518.0072868466864
chr20	53693128	53693602	T	517.5173962918243
chr17	14549885	14550114	N	517.4638359061819
chr2	231483885	231484280	T	517.2875779527385
chr5	131054226	131054503	N	517.0731349921384
chr13	92352981	92353343	N	517.0414615443838
chr3	62377038	62377374	T	517.0304054683688
chr3	196634101	196634592	T	516.6652184171321
chr1	36322636	36323126	T	516.4578331998046
chr1	92486536	92486803	T	515.7161659864942
chrX	155457423	155457932	T	515.6416951247838
chr13	27961133	27961473	T	515.5841824515692
chr9	137222462	137222912	T	515.4334934933677
chr3	193869453	193869786	N	514.8578283816241
chr4	86904097	86904559	T	514.6219674602717
chr15	48645901	48646379	T	514.6191226508738
chr1	11690868	11691200	T	513.6901486286606
chr8	144472687	144472849	T	513.1265087901297
chr10	90159036	90159281	N	513.0285187620252
chr6	30260059	30260365	T	512.4220499413032
chr4	166716562	166717023	N	512.2646127469752
chr22	41560575	41561033	T	512.1391064594095
chr19	48909403	48909761	T	512.0268559585597
chr3	195095065	195095567	T	511.560243918625
chr1	161465212	161465612	N	511.52611052275097
chr9	122126865	122127175	T	511.0398790985937
chr12	31810753	31811018	T	510.5325740338949
chr8	94720967	94721472	N	510.3360162713161
chr4	2689767	2690275	T	510.1853462382424
chr22_KI270733v1_random	126235	126625	N	510.1679207417183
chr10	24293885	24294182	N	510.0319453717675
chr6	83803322	83803824	N	510.0200820248047
chr19	33063461	33063951	T	509.6465214614145
chr3	26693051	26693323	N	509.4721028055201
chr21	8443664	8443817	N	509.380269657122
chr1	83182192	83182612	N	509.28969723995056
chr16	87435403	87435891	T	508.7999970034448
chr2	79111234	79111486	N	508.7358210579596
chr21	10739696	10740090	N	508.7263877161686
chr2	231383604	231383996	T	508.40406685139806
chr7	101927861	101928222	N	508.3101656016042
chr9	80202193	80202466	N	508.0244510181601
chr19	17333879	17334266	T	507.76031756205793
chr2	80945288	80945567	N	507.0182823105424
chr5	153443667	153443940	N	506.9904756359997
chr20	37898207	37898563	N	506.8404063428393
chr9	137809128	137809434	T	506.8058661224613
chr17	75102263	75102701	T	506.6902244142407
chr4	166569996	166570458	N	506.6744433396334
chrX	140233312	140233585	N	506.6638984094338
chr10	105382958	105383356	N	506.65566077122367
chr5	71586162	71586611	N	506.4161488198415
chr19	12885758	12886224	T	506.3416884472372
chr9	4299977	4300305	T	506.3058472508051
chr10	129959405	129959740	T	506.2940982124792
chr19	47950259	47950537	N	506.2062328318575
chr17	48624665	48625061	T	505.4989212104365
chr12	113077459	113077826	T	505.446609392573
chr11	49891332	49891823	N	505.0880220596241
chr4	170431419	170431875	N	504.9657028601514
chr16	68344187	68344517	N	504.90153783853793
chr1	25906591	25907074	T	504.7419800506868
chr8	64450046	64450326	N	504.60856376156426
chr2	76781359	76781743	N	504.48551987454994
chr9	99828607	99828858	T	504.4310529805789
chr6	94863929	94864250	N	504.24238114314
chr14	104370605	104370988	N	504.16357178144426
chr2	211888531	211888905	N	504.1467996767078
chr2	135985817	135986215	T	504.0261806839271
chr15	89776611	89776973	T	503.8784169370711
chr6	78910533	78910999	T	503.6344061972977
chr9	6080236	6080668	T	503.389758019262
chr19	35401504	35401961	T	503.18694079483566
chr20	56004963	56005412	N	502.9156166176508
chr14	61553176	61553570	T	502.83880194267294
chr11	41149226	41149504	N	502.38986302385774
chr2	230827982	230828274	T	502.2877312291776
chr21	41802646	41803094	N	502.2681314652118
chr4	1360433	1360862	N	502.2065682942484
chr3	53156300	53156804	T	501.9618980402811
chr9	93504834	93505217	T	501.68232096567135
chr7	121373743	121373990	T	501.5448065930823
chr18	45966038	45966435	N	501.1963374442648
chr1	159854898	159855383	T	501.01402831211
chr17	62807846	62808179	T	500.2888848702692
chr2	108200852	108201194	N	500.1370033263065
chr11	70438577	70438908	T	500.1150110771309
chr7	126149028	126149526	N	499.8501298035126
chr1	53062867	53063235	T	499.4481761848265
chr17	50508568	50509067	T	499.1944736680507
chr2	224442059	224442322	T	499.1714032319762
chr22	41871708	41872166	T	499.0889225390388
chr16	1323392	1323802	N	498.9186872724804
chrUn_GL000218v1	117719	118009	T	498.6617175248175
chr22	50184516	50184965	T	498.282701922968
chr1	1575716	1576021	N	498.0781612751625
chr12	34335981	34336343	N	498.0001055887929
chr4	170330333	170330797	N	497.2375401039244
chr1	6484839	6485319	T	496.6900434523254
chr6	7112612	7113049	T	496.603569047415
chr22	42623405	42623885	T	496.5255326941142
chr9	1279403	1279859	N	496.4410886010219
chr13	96331781	96332187	N	496.03633304265895
chr17	80846283	80846704	T	496.0185864318064
chr10	100519136	100519638	T	495.7054266312489
chr1	241100096	241100459	N	495.4955310471351
